0:0:0:0:0:0:0:1 - - [10/May/2025:08:25:43 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843929718_Screenshot+%2837%29.png HTTP/1.1" 200 1515858
0:0:0:0:0:0:0:1 - - [10/May/2025:08:25:44 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843929718_Screenshot+%2837%29.png HTTP/1.1" 200 1515858
0:0:0:0:0:0:0:1 - - [10/May/2025:08:25:44 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843929718_Screenshot+%2837%29.png HTTP/1.1" 200 1515858
0:0:0:0:0:0:0:1 - - [10/May/2025:08:25:44 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843929718_Screenshot+%2837%29.png HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [10/May/2025:08:32:20 +0530] "GET /DualAccessControlSystem/download.jsp HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [10/May/2025:08:32:31 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746844013722_Screenshot+%2856%29.png HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [10/May/2025:08:58:19 +0530] "GET /DualAccessControlSystem/download.jsp HTTP/1.1" 200 3957
0:0:0:0:0:0:0:1 - - [10/May/2025:08:58:19 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843929718_Screenshot+%2837%29.png HTTP/1.1" 200 1515858
0:0:0:0:0:0:0:1 - - [10/May/2025:08:58:19 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746844013722_Screenshot+%2856%29.png HTTP/1.1" 200 433822
0:0:0:0:0:0:0:1 - - [10/May/2025:08:58:19 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843969043_Screenshot+%2856%29.png HTTP/1.1" 200 433822
0:0:0:0:0:0:0:1 - - [10/May/2025:08:58:47 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [10/May/2025:08:58:54 +0530] "GET /DualAccessControlSystem/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2025:08:58:54 +0530] "GET /DualAccessControlSystem/index.jsp HTTP/1.1" 200 2677
0:0:0:0:0:0:0:1 - - [10/May/2025:08:59:01 +0530] "POST /DualAccessControlSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2025:08:59:01 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [10/May/2025:08:59:05 +0530] "GET /DualAccessControlSystem/upload.jsp HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [10/May/2025:08:59:14 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [10/May/2025:08:59:16 +0530] "GET /DualAccessControlSystem/download.jsp HTTP/1.1" 200 3957
0:0:0:0:0:0:0:1 - - [10/May/2025:08:59:16 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843969043_Screenshot+%2856%29.png HTTP/1.1" 200 433822
0:0:0:0:0:0:0:1 - - [10/May/2025:08:59:16 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746844013722_Screenshot+%2856%29.png HTTP/1.1" 200 433822
0:0:0:0:0:0:0:1 - - [10/May/2025:08:59:16 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843929718_Screenshot+%2837%29.png HTTP/1.1" 200 1515858
0:0:0:0:0:0:0:1 - - [10/May/2025:08:59:47 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [10/May/2025:08:59:48 +0530] "GET /DualAccessControlSystem/upload.jsp HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [10/May/2025:09:01:40 +0530] "POST /DualAccessControlSystem/UploadServlet HTTP/1.1" 200 4092
0:0:0:0:0:0:0:1 - - [10/May/2025:09:01:42 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [10/May/2025:09:01:44 +0530] "GET /DualAccessControlSystem/download.jsp HTTP/1.1" 200 4491
0:0:0:0:0:0:0:1 - - [10/May/2025:09:01:44 +0530] "GET /DualAccessControlSystem/images/file-icon.png HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [10/May/2025:09:01:44 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843929718_Screenshot+%2837%29.png HTTP/1.1" 200 1515858
0:0:0:0:0:0:0:1 - - [10/May/2025:09:01:44 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843969043_Screenshot+%2856%29.png HTTP/1.1" 200 433822
0:0:0:0:0:0:0:1 - - [10/May/2025:09:01:44 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746844013722_Screenshot+%2856%29.png HTTP/1.1" 200 433822
0:0:0:0:0:0:0:1 - - [10/May/2025:09:10:59 +0530] "GET /DualAccessControlSystem/download.jsp HTTP/1.1" 200 4590
0:0:0:0:0:0:0:1 - - [10/May/2025:09:10:59 +0530] "GET /DualAccessControlSystem/images/file-icon.png HTTP/1.1" 200 7622
0:0:0:0:0:0:0:1 - - [10/May/2025:09:10:59 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843929718_Screenshot+%2837%29.png HTTP/1.1" 200 1515858
0:0:0:0:0:0:0:1 - - [10/May/2025:09:10:59 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746844013722_Screenshot+%2856%29.png HTTP/1.1" 200 433822
0:0:0:0:0:0:0:1 - - [10/May/2025:09:10:59 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843969043_Screenshot+%2856%29.png HTTP/1.1" 200 433822
0:0:0:0:0:0:0:1 - - [10/May/2025:09:12:05 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [10/May/2025:09:12:05 +0530] "GET /DualAccessControlSystem/images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2025:09:12:24 +0530] "GET /DualAccessControlSystem/upload.jsp HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [10/May/2025:09:12:40 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [10/May/2025:09:13:53 +0530] "GET /DualAccessControlSystem/download.jsp HTTP/1.1" 200 4590
0:0:0:0:0:0:0:1 - - [10/May/2025:09:13:53 +0530] "GET /DualAccessControlSystem/images/file-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2025:09:13:53 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843969043_Screenshot+%2856%29.png HTTP/1.1" 200 433822
0:0:0:0:0:0:0:1 - - [10/May/2025:09:13:53 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843929718_Screenshot+%2837%29.png HTTP/1.1" 200 1515858
0:0:0:0:0:0:0:1 - - [10/May/2025:09:13:53 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746844013722_Screenshot+%2856%29.png HTTP/1.1" 200 433822
0:0:0:0:0:0:0:1 - - [10/May/2025:09:13:57 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [10/May/2025:09:14:01 +0530] "GET /DualAccessControlSystem/upload.jsp HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [10/May/2025:09:14:04 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 2097
